acceptedNameUsageID,Scientific name,Behavior0_Bottom,Behavior0_Top,Behavior0_Average,Behavior0_# records,Food0_Bottom,Food0_Top,Food0_Average,Food0_# records,Habitat0_Bottom,Habitat0_Top,Habitat0_Average,Habitat0_# records,Salinity0_Bottom,Salinity0_Top,Salinity0_Average,Salinity0_# records,TemperatureT0_Bottom,TemperatureT0_Top,TemperatureT0_Average,TemperatureT0_# records,Aggregation0_Bottom,Aggregation0_Top,Aggregation0_Average,Aggregation0_# records,Associate0_Bottom,Associate0_Top,Associate0_Average,Associate0_# records,Behavior1_Bottom,Behavior1_Top,Behavior1_Average,Behavior1_# records,Food1_Bottom,Food1_Top,Food1_Average,Food1_# records,Habitat1_Bottom,Habitat1_Top,Habitat1_Average,Habitat1_# records,Salinity1_Bottom,Salinity1_Top,Salinity1_Average,Salinity1_# records,TemperatureT1_Bottom,TemperatureT1_Top,TemperatureT1_Average,TemperatureT1_# records
126332,Alepisaurus brevirostris,2.5,2.5,2.5,1,2.2,3.0,2.466666667,3,3.0,3.0,3.0,2,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126333,Alepisaurus ferox,2.5,3.2,2.9,3,1.4,3.0,1.96,5,1.3,3.0,2.15,2,2.0,2.0,2.0,1,1.3,3.0,2.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126349,Scopelosaurus lepidus,2.0,3.0,2.5,3,1.8,3.2,2.25,4,3.0,3.0,3.0,1,2.0,2.0,2.0,1,1.3,3.0,2.225,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126350,Scopelosaurus smithii,2.0,3.0,2.5,2,1.8,1.8,1.8,1,2.2,2.5,2.35,2,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126361,Paralepis coregonoides,2.5,3.2,2.88,5,,,,,,,,,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126367,Scopelarchus analis,2.5,3.0,2.75,2,3.2,3.2,3.2,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.466666667,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126368,Scopelarchus michaelsarsi,2.5,3.0,2.75,2,3.2,3.2,3.2,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126375,Belone belone,3.0,3.0,3.0,1,3.0,3.0,3.0,1,3.0,3.0,3.0,1,1.0,2.0,1.5,2,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126378,Tylosurus acus,3.2,3.2,3.2,1,2.0,3.2,2.6,2,1.5,3.0,2.125,4,2.0,2.0,2.0,1,2.4,3.0,2.666666667,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126385,Exocoetus volitans,3.0,3.2,3.1,2,1.8,2.0,1.9,2,2.0,2.0,2.0,2,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126387,Hirundichthys speculiger,3.0,3.0,3.0,1,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126392,Scomberesox saurus,3.0,3.0,3.0,1,1.8,3.2,2.15,4,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,2.6,2.3,2,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,
126393,Anoplogaster cornuta,2.5,2.5,2.5,1,2.0,3.0,2.5,2,,,,,2.0,2.0,2.0,1,2.0,3.0,2.5,2,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,
126404,Hoplostethus mediterraneus,2.0,2.0,2.0,1,,,,,,,,,2.0,2.0,2.0,1,2.6,2.6,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126407,Ditropichthys storeri,2.5,2.5,2.5,1,,,,,,,,,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126412,Rondeletia loricata,2.5,3.0,2.75,2,1.8,2.0,1.9,2,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126421,Sardina pilchardus,3.0,3.0,3.0,1,1.8,1.8,1.8,1,2.0,2.0,2.0,1,0.0,2.0,1.0,3,1.6,2.6,2.1,2,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,
126422,Sardinella aurita,3.0,3.0,3.0,1,1.2,1.8,1.6,3,1.3,2.0,1.766666667,3,1.0,2.0,1.5,2,2.6,2.6,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126423,Sardinella maderensis,3.0,3.0,3.0,1,1.2,1.8,1.6,3,1.0,2.0,1.5,2,1.0,2.0,1.5,2,2.6,2.6,2.6,1,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,
126425,Sprattus sprattus,3.0,3.0,3.0,1,1.8,1.8,1.8,1,1.0,3.0,1.825,4,0.0,2.0,1.0,3,2.0,2.0,2.0,1,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,
126439,Micromesistius poutassou,2.5,2.5,2.5,1,2.0,3.0,2.5,3,2.0,2.5,2.25,2,2.0,2.0,2.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126444,Trisopterus esmarkii,2.0,3.0,2.5,2,1.8,3.2,2.088888889,9,,,,,2.0,2.0,2.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126473,Nezumia aequalis,2.0,2.0,2.0,1,1.4,2.0,1.7,2,,,,,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126482,Trachyrincus scabrus,1.2,1.2,1.2,1,1.4,3.0,2.085714286,7,2.0,3.0,2.5,3,2.0,2.0,2.0,1,,,,,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,
126484,Merluccius merluccius,1.0,1.0,1.0,1,2.0,3.0,2.533333333,3,,,,,2.0,2.0,2.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126486,Antimora rostrata,1.7,2.5,2.066666667,3,1.4,1.4,1.4,1,2.5,2.5,2.5,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126497,Mora moro,1.0,2.5,1.833333333,3,1.4,4.5,2.48,5,2.5,2.5,2.5,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126522,Lampris guttatus,2.5,3.2,2.9,3,1.5,3.0,2.371428571,7,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.5,2,1.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
126524,Radiicephalus elongatus,3.0,3.0,3.0,1,2.2,3.2,2.8,3,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126525,Regalecus glesne,3.0,3.2,3.066666667,3,1.8,3.2,2.428571429,7,3.0,3.0,3.0,2,2.0,2.0,2.0,1,1.6,3.0,2.3,4,1.0,2.0,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,
126526,Stylephorus chordatus,2.5,3.0,2.8,5,1.4,1.8,1.6,2,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126527,Trachipterus arcticus,2.5,3.2,2.9,3,2.0,3.2,2.6,3,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,
126528,Trachipterus trachypterus,2.5,3.2,2.9,3,1.8,3.2,2.65,4,2.5,3.0,2.75,2,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126537,Ceratias holboelli,2.5,2.5,2.5,1,,,,,,,,,2.0,2.0,2.0,1,1.3,3.0,1.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126538,Cryptopsaras couesii,2.5,2.5,2.5,1,,,,,,,,,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126566,Leptacanthichthys gracilispinis,2.5,2.5,2.5,1,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126581,Benthosema suborbitale,2.5,3.2,2.9,3,1.8,1.8,1.8,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126582,Bolinichthys indicus,2.5,3.0,2.75,2,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,2.6,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126583,Bolinichthys supralateralis,2.5,3.0,2.75,2,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126584,Centrobranchus nigroocellatus,2.5,3.2,2.9,3,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126585,Ceratoscopelus maderensis,2.5,3.2,2.85,2,1.8,1.8,1.8,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126589,Diaphus brachycephalus,2.5,3.0,2.75,2,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126590,Diaphus dumerilii,3.0,3.2,3.1,2,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126594,Diaphus metopoclampus,2.0,3.0,2.5,3,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126599,Diogenichthys atlanticus,2.5,3.2,2.9,3,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126603,Hygophum hygomii,2.5,3.0,2.75,2,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,2.6,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126607,Lampadena chavesi,2.5,3.2,2.9,3,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126612,Lampanyctus crocodilus,2.0,3.2,2.675,4,1.8,1.8,1.8,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126614,Lampanyctus festivus,2.5,3.0,2.75,2,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,2.6,2.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126616,Lampanyctus lineatus,2.5,3.0,2.875,4,,,,,3.0,3.0,3.0,2,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126625,Loweina rara,2.5,3.2,2.9,3,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126626,Myctophum nitidulum,2.5,3.2,2.9,3,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126627,Myctophum punctatum,2.5,3.2,2.9,3,1.8,2.2,1.933333333,3,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126628,Myctophum selenops,2.5,3.2,2.9,3,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126629,Notolychnus valdiviae,2.5,3.2,2.9,3,1.8,2.2,2.0,3,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,2.6,2.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126632,Taaningichthys minimus,2.5,3.2,2.9,3,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126715,Argentina silus,2.5,2.5,2.5,1,1.8,3.0,2.266666667,3,,,,,2.0,2.0,2.0,1,1.0,1.0,1.0,1,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,
126733,Opisthoproctus soleatus,2.5,3.0,2.75,2,,,,,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
