run_id,model_arc,epochs,ensemble_type,params,grad,lr,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean,val_loss,val_acc
57,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.24638456726074218,0.926,1745792680.6940615,2025/04/28 07:24:40,1145.8620820045471,19.1m,0.00048077126962198236,1.0294367127418518,0.6998
58,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.3549171646118164,0.8834,1745792965.9031382,2025/04/28 07:29:25,285.13123846054077,4.8m,0.00029040969093330204,1.0440064487457275,0.6873
59,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2682105180740356,0.9108,1745794085.5614352,2025/04/28 07:48:05,1119.1330966949463,18.7m,0.0003881415554474188,1.0292166241645813,0.6955
60,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.32061822605133056,0.8986,1745794370.4241076,2025/04/28 07:52:50,284.78419852256775,4.7m,0.00033505583996884525,1.0457087013244628,0.6829
61,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.26093514404296875,0.9162,1745795504.2313144,2025/04/28 08:11:44,1133.2909362316132,18.9m,0.0003902212147863793,0.9984915736198425,0.7091
62,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.34386511154174804,0.8918,1745795789.1546252,2025/04/28 08:16:29,284.8442304134369,4.7m,0.00025866064243018627,1.0172400955200196,0.69
63,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.25176154985427857,0.926,1745796931.778355,2025/04/28 08:35:31,1142.0967140197754,19.0m,0.00023781025078051243,1.0037458560943604,0.7073
64,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.3431880648612976,0.8954,1745797216.2618513,2025/04/28 08:40:16,284.40378499031067,4.7m,0.000350249552866444,1.049046653366089,0.6789
65,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.26806701545715333,0.9144,1745798349.174703,2025/04/28 08:59:09,1132.392375946045,18.9m,0.0003022370516987394,1.005836979484558,0.702
66,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.33513937015533446,0.8946,1745798634.09071,2025/04/28 09:03:54,284.83481216430664,4.7m,0.00032732708496041596,1.0654020013809204,0.6775
67,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.25868898324966433,0.9228,1745799797.093765,2025/04/28 09:23:17,1162.4662277698517,19.4m,0.0002900028409840161,1.0221726070404054,0.7051
