step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
810,810,0.04163025176525116,0.997,mean: 0.04163025176525116,mean: 0.997,1748926003.439622,2025/06/03 13:46:43,1348.2447581291199,22.5m,120.3653256893158,107.81853556632996,45.46300721168518,4.426524450302124,0.1995
811,811,0.03556442087888718,0.996,mean: 0.03556442087888718,mean: 0.996,1748926005.1586442,2025/06/03 13:46:45,1349.9637804031372,22.5m,120.49606013298035,107.94931101799011,45.517828941345215,,
812,812,0.04020592623949051,0.994,mean: 0.04020592623949051,mean: 0.994,1748926006.581664,2025/06/03 13:46:46,1351.386800289154,22.5m,120.6288857460022,108.08217787742615,45.57267904281616,,
813,813,0.034597884982824324,0.995,mean: 0.034597884982824324,mean: 0.995,1748926008.001186,2025/06/03 13:46:48,1352.8063220977783,22.5m,120.75892472267151,108.21225619316101,45.62749648094177,,
814,814,0.03197069269418716,0.996,mean: 0.03197069269418716,mean: 0.996,1748926009.4035752,2025/06/03 13:46:49,1354.208711385727,22.6m,120.88958191871643,108.34295558929443,45.68618583679199,,
815,815,0.03349978917837143,0.995,mean: 0.03349978917837143,mean: 0.995,1748926010.8463306,2025/06/03 13:46:50,1355.651466846466,22.6m,121.01960730552673,108.47301959991455,45.74181795120239,,
816,816,0.04547222238779068,0.994,mean: 0.04547222238779068,mean: 0.994,1748926012.2643363,2025/06/03 13:46:52,1357.0694725513458,22.6m,121.14926481246948,108.60271692276001,45.79701566696167,,
817,817,0.04713976734876633,0.994,mean: 0.04713976734876633,mean: 0.994,1748926013.6879275,2025/06/03 13:46:53,1358.4930636882782,22.6m,121.27923727035522,108.7327311038971,45.8531277179718,,
818,818,0.07041433846950532,0.9835,mean: 0.07041433846950532,mean: 0.9835,1748926015.0949254,2025/06/03 13:46:55,1359.9000616073608,22.7m,121.41031980514526,108.863853931427,45.90857219696045,,
819,819,0.0774428943991661,0.99,mean: 0.0774428943991661,mean: 0.99,1748926016.4957817,2025/06/03 13:46:56,1361.3009178638458,22.7m,121.54009342193604,108.99366641044617,45.96353793144226,,
820,820,0.07413769298791885,0.991,mean: 0.07413769298791885,mean: 0.991,1748926019.9911213,2025/06/03 13:46:59,1364.7962574958801,22.7m,121.82138395309448,109.12486505508423,46.01923680305481,4.80035883102417,0.1849
821,821,0.07744079053401948,0.987,mean: 0.07744079053401948,mean: 0.987,1748926021.7093866,2025/06/03 13:47:01,1366.5145227909088,22.8m,121.9512529373169,109.25477743148804,46.0778169631958,,
822,822,0.1082120316028595,0.98,mean: 0.1082120316028595,mean: 0.98,1748926023.1448028,2025/06/03 13:47:03,1367.9499390125275,22.8m,122.08262610435486,109.38619470596313,46.13282561302185,,
823,823,0.13219472527503967,0.972,mean: 0.13219472527503967,mean: 0.972,1748926024.5409858,2025/06/03 13:47:04,1369.3461220264435,22.8m,122.21254992485046,109.51615715026855,46.187986850738525,,
824,824,0.1373915411233902,0.971,mean: 0.1373915411233902,mean: 0.971,1748926025.9560323,2025/06/03 13:47:05,1370.7611684799194,22.8m,122.34243655204773,109.64608359336853,46.24315285682678,,
825,825,0.15440422654151917,0.9675,mean: 0.15440422654151917,mean: 0.9675,1748926027.3662603,2025/06/03 13:47:07,1372.1713964939117,22.9m,122.47233033180237,109.77601408958435,46.301793813705444,,
826,826,0.2037557851076126,0.949,mean: 0.2037557851076126,mean: 0.949,1748926028.8045306,2025/06/03 13:47:08,1373.6096668243408,22.9m,122.60428404808044,109.90800833702087,46.35708212852478,,
827,827,0.2776480660438538,0.9325,mean: 0.2776480660438538,mean: 0.9325,1748926030.2139642,2025/06/03 13:47:10,1375.0191004276276,22.9m,122.7366464138031,110.04041028022766,46.41206693649292,,
828,828,0.30734205651283264,0.91,mean: 0.30734205651283264,mean: 0.91,1748926031.6110187,2025/06/03 13:47:11,1376.4161548614502,22.9m,122.86677265167236,110.170583486557,46.467442989349365,,
829,829,0.39641662979125974,0.8925,mean: 0.39641662979125974,mean: 0.8925,1748926033.0163183,2025/06/03 13:47:13,1377.821454524994,23.0m,122.99723029136658,110.30108737945557,46.52242136001587,,
830,830,0.3711647720336914,0.897,mean: 0.3711647720336914,mean: 0.897,1748926036.5617461,2025/06/03 13:47:16,1381.3668823242188,23.0m,123.28197383880615,110.43356728553772,46.57813000679016,6.682672569274902,0.1408
831,831,0.34805668878555296,0.9095,mean: 0.34805668878555296,mean: 0.9095,1748926038.2922132,2025/06/03 13:47:18,1383.0973494052887,23.1m,123.41510319709778,110.56673645973206,46.63409423828125,,
832,832,0.2729924280643463,0.927,mean: 0.2729924280643463,mean: 0.927,1748926039.6961734,2025/06/03 13:47:19,1384.501309633255,23.1m,123.5459372997284,110.69761180877686,46.68919277191162,,
833,833,0.24873524010181428,0.934,mean: 0.24873524010181428,mean: 0.934,1748926041.090746,2025/06/03 13:47:21,1385.8958821296692,23.1m,123.67635488510132,110.82807183265686,46.74385046958923,,
834,834,0.21874225878715514,0.939,mean: 0.21874225878715514,mean: 0.939,1748926042.486778,2025/06/03 13:47:22,1387.2919142246246,23.1m,123.80662512779236,110.95838284492493,46.798566579818726,,
835,835,0.1577469288110733,0.965,mean: 0.1577469288110733,mean: 0.965,1748926043.909383,2025/06/03 13:47:23,1388.7145192623138,23.1m,123.93735551834106,111.08915543556213,46.853996992111206,,
836,836,0.13791464138031007,0.9665,mean: 0.13791464138031007,mean: 0.9665,1748926045.3068714,2025/06/03 13:47:25,1390.1120076179504,23.2m,124.06728291511536,111.21912097930908,46.908562660217285,,
837,837,0.11512514048814773,0.971,mean: 0.11512514048814773,mean: 0.971,1748926046.7330618,2025/06/03 13:47:26,1391.5381979942322,23.2m,124.20000839233398,111.35188508033752,46.963134765625,,
