step,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
92,92,0.2991550962130229,0.905952380952381,1749097198.6556346,2025/06/05 13:19:58,60.37584567070007,1.0m,6.058708429336548,5.207439184188843,6.2290873527526855,0.554236008061303,0.8722222222222222
93,93,0.29944460789362587,0.8964285714285715,1749097199.4637206,2025/06/05 13:19:59,61.18393158912659,1.0m,6.129913330078125,5.278671741485596,6.2808263301849365,,
94,94,0.2719873104776655,0.9142857142857143,1749097200.222308,2025/06/05 13:20:00,61.94251894950867,1.0m,6.214943170547485,5.3501222133636475,6.335692405700684,0.4987008717324999,0.8694444444444445
95,95,0.23040395350683304,0.9178571428571428,1749097200.8003402,2025/06/05 13:20:00,62.5205512046814,1.0m,6.25733208656311,5.39254355430603,6.400955438613892,,
96,96,0.2994150428544907,0.8940476190476191,1749097201.4364378,2025/06/05 13:20:01,63.15664887428284,1.1m,6.325642347335815,5.434609413146973,6.470285892486572,0.4818423880471124,0.8777777777777778
97,97,0.2156426191329956,0.9333333333333333,1749097202.2240553,2025/06/05 13:20:02,63.9442663192749,1.1m,6.401739120483398,5.510736465454102,6.524693489074707,,
98,98,0.227136753836558,0.9214285714285714,1749097202.7855754,2025/06/05 13:20:02,64.5057864189148,1.1m,6.461278200149536,5.5559093952178955,6.586176156997681,0.5159692207972209,0.8777777777777778
99,99,0.26941504308155606,0.9142857142857143,1749097203.4280148,2025/06/05 13:20:03,65.14822578430176,1.1m,6.51601767539978,5.610678195953369,6.639636278152466,,
100,100,0.24358706190472557,0.9119047619047619,1749097204.2533836,2025/06/05 13:20:04,65.97359466552734,1.1m,6.6100335121154785,5.681295156478882,6.692489862442017,0.7481726249059041,0.8277777777777777
101,101,0.32113677859306333,0.8988095238095238,1749097204.8475528,2025/06/05 13:20:04,66.5677638053894,1.1m,6.650437831878662,5.721728324890137,6.762442588806152,,
102,102,0.24047305498804364,0.9154761904761904,1749097205.4011173,2025/06/05 13:20:05,67.12132835388184,1.1m,6.706228494644165,5.764146089553833,6.81576943397522,0.5110259678628709,0.875
103,103,0.26511681677684895,0.9142857142857143,1749097206.3065155,2025/06/05 13:20:06,68.0267264842987,1.1m,6.788614988327026,5.846561431884766,6.916488170623779,,
104,104,0.23577010376112803,0.9297619047619048,1749097206.8261464,2025/06/05 13:20:06,68.54635739326477,1.1m,6.841128587722778,5.885472297668457,6.968486547470093,0.7015967845916748,0.8166666666666667
105,105,0.27169377633503505,0.8952380952380953,1749097207.4361641,2025/06/05 13:20:07,69.15637516975403,1.2m,6.8856542110443115,5.930027008056641,7.069431781768799,,
106,106,0.31846841332458314,0.9119047619047619,1749097208.3076887,2025/06/05 13:20:08,70.02789974212646,1.2m,6.9768455028533936,5.9959330558776855,7.120752811431885,0.6456935803095499,0.8638888888888889
107,107,0.3879815359910329,0.8952380952380953,1749097208.9050214,2025/06/05 13:20:08,70.62523245811462,1.2m,7.020423650741577,6.039536476135254,7.1732964515686035,,
108,108,0.29180446373564856,0.9023809523809524,1749097209.4586947,2025/06/05 13:20:09,71.17890572547913,1.2m,7.076280832290649,6.0822367668151855,7.255550384521484,0.6237348993619283,0.8805555555555555
