acceptedNameUsageID,Scientific name,Item,Top,Bottom,midPoint
126333,Alepisaurus ferox,Lon,-180,180,
126333,Alepisaurus ferox,Depth,0,1830,
126333,Alepisaurus ferox,max size,,,215
126333,Alepisaurus ferox,common size,,,150
126349,Scopelosaurus lepidus,Lat,-18,71,
126349,Scopelosaurus lepidus,lon,-81,15,
126349,Scopelosaurus lepidus,Depth,500,800,
126349,Scopelosaurus lepidus,Depth,70,2500,
126349,Scopelosaurus lepidus,max size,,,36.4
126349,Scopelosaurus lepidus,common size,,,35
126350,Scopelosaurus smithii,Lat,-30,40,
126350,Scopelosaurus smithii,Depth,500,?,
126350,Scopelosaurus smithii,Depth,50,815,
126350,Scopelosaurus smithii,max size,,,25
126361,Paralepis coregonoides,Lat,30,65,
126361,Paralepis coregonoides,lon,-77,21,
126361,Paralepis coregonoides,Depth,50,1032,
126361,Paralepis coregonoides,Depth,50,600,
126361,Paralepis coregonoides,max size,,,29
126361,Paralepis coregonoides,max size,,,50
126367,Scopelarchus analis,Depth,0,820,
126367,Scopelarchus analis,Depth,200,1500,
126367,Scopelarchus analis,max size,,,12.6
126368,Scopelarchus michaelsarsi,Lat,-37,30,
126368,Scopelarchus michaelsarsi,lon,-180,-150,
126368,Scopelarchus michaelsarsi,lon,-85,180,
126368,Scopelarchus michaelsarsi,Depth,250,500,
126368,Scopelarchus michaelsarsi,max size,,,10.1
126375,Belone belone,lat,14,65,
126375,Belone belone,lon,-32,42,
126375,Belone belone,Depth,0,20,
126375,Belone belone,max size,,,104
126375,Belone belone,common size,,,45
126378,Tylosurus acus,Lat,?,43,
126378,Tylosurus acus,lon,-98,36,
126378,Tylosurus acus,Depth,0,20,
126378,Tylosurus acus,common size,,,90
126378,Tylosurus acus,max size,95,129,
126378,Tylosurus acus,max size,,,153
126378,Tylosurus acus,common size,,,90
126385,Exocoetus volitans,Lat,-36,44,
126385,Exocoetus volitans,lon,-180,180,
126385,Exocoetus volitans,Depth,0,20,
126385,Exocoetus volitans,max size,,,30
126385,Exocoetus volitans,common size,,,20
126387,Hirundichthys speculiger,Lat,-36,42,
126387,Hirundichthys speculiger,lon,-180,180,
126387,Hirundichthys speculiger,Depth,0,20,
126387,Hirundichthys speculiger,max size,,,25.1
126392,Scomberesox saurus,Lat,-22,66,
126392,Scomberesox saurus,lon,-98,36,
126392,Scomberesox saurus,Depth,0,30,
126392,Scomberesox saurus,max size,,,50
126392,Scomberesox saurus,common size,,,32
126393,Anoplogaster cornuta,Lat,-46,65,
126393,Anoplogaster cornuta,lon,-180,180,
126393,Anoplogaster cornuta,Depth,500,2000,
126393,Anoplogaster cornuta,Depth,2,4992,
126393,Anoplogaster cornuta,max size,,,18
126404,Hoplostethus mediterraneus,Lat,-78,68,
126404,Hoplostethus mediterraneus,lon,-98,180,
126404,Hoplostethus mediterraneus,lon,-180,-167,
126404,Hoplostethus mediterraneus,Depth,100,1408,
126404,Hoplostethus mediterraneus,max size,,,42
126404,Hoplostethus mediterraneus,common size,,,20
126407,Ditropichthys storeri,Lat,-43,45,
126407,Ditropichthys storeri,Depth,1000,2000,
126407,Ditropichthys storeri,Depth,650,3400,
126407,Ditropichthys storeri,max size,,,12.8
126412,Rondeletia loricata,Lat,-40,45,
126412,Rondeletia loricata,lon,-180,180,
126412,Rondeletia loricata,Depth,200,1400,
126412,Rondeletia loricata,Depth,100,3500,
126412,Rondeletia loricata,max size,,,11
126412,Rondeletia loricata,common size,,,9
126421,Sardina pilchardus,Lat,14,68,
126421,Sardina pilchardus,lon,-32,43,
126421,Sardina pilchardus,Depth,10,35,
126421,Sardina pilchardus,Depth,25,100,
126421,Sardina pilchardus,max size,,,20
126421,Sardina pilchardus,common size,,,27.5
126422,Sardinella aurita,Lat,-40,47,
126422,Sardinella aurita,lon,-98,43,
126422,Sardinella aurita,Depth,0,350,
126422,Sardinella aurita,max size,,,41
126422,Sardinella aurita,common size,,,25
126423,Sardinella maderensis,lat,-23,46,
126423,Sardinella maderensis,lon,-17,36,
126423,Sardinella maderensis,Depth,0,80,
126423,Sardinella maderensis,common size,20,25,
126423,Sardinella maderensis,max size,,,30
126423,Sardinella maderensis,max size,,,32
126423,Sardinella maderensis,common size,,,25
126423,Sardinella maderensis,common size,,,22.5
126425,Sprattus sprattus,Lat,30,60,
126425,Sprattus sprattus,lon,-11,42,
126425,Sprattus sprattus,Depth,10,150,
126425,Sprattus sprattus,max size,,,16
126425,Sprattus sprattus,common size,,,12
126439,Micromesistius poutassou,Lat,26,79,
126439,Micromesistius poutassou,lon,-82,51,
126439,Micromesistius poutassou,Depth,300,400,
126439,Micromesistius poutassou,Depth,150,3000,
126439,Micromesistius poutassou,max size,,,55.5
126439,Micromesistius poutassou,common size,,,22
126444,Trisopterus esmarkii,lat,48,79,
126444,Trisopterus esmarkii,lon,-27,30,
126444,Trisopterus esmarkii,Depth,100,200,
126444,Trisopterus esmarkii,Depth,50,300,
126444,Trisopterus esmarkii,max size,,,35
126444,Trisopterus esmarkii,common size,,,19
126473,Nezumia aequalis,Lat,-12,70,
126473,Nezumia aequalis,lon,-98,30,
126473,Nezumia aequalis,Depth,200,2320,
126473,Nezumia aequalis,Depth,200,1000,
126473,Nezumia aequalis,max size,,,36
126473,Nezumia aequalis,common size,,,25
126482,Trachyrincus scabrus,Lat,-27,55,
126482,Trachyrincus scabrus,lon,-26,36,
126482,Trachyrincus scabrus,Depth,400,1500,
126482,Trachyrincus scabrus,max size,,,50
126482,Trachyrincus scabrus,max size,,,60
126484,Merluccius merluccius,Lat,18,76,
126484,Merluccius merluccius,lon,-30,42,
126484,Merluccius merluccius,Depth,70,370,
126484,Merluccius merluccius,Depth,30,1075,
126484,Merluccius merluccius,max size,,,100
126484,Merluccius merluccius,max size,,,140
126484,Merluccius merluccius,common size,,,45
126486,Antimora rostrata,Lat,-68,70,
126486,Antimora rostrata,lon,-180,180,
126486,Antimora rostrata,Depth,1300,2500,
126486,Antimora rostrata,Depth,350,3000,
126486,Antimora rostrata,max size,,,75
126497,Mora moro,Lat,-51,64,
126497,Mora moro,lon,-180,-174,
126497,Mora moro,lon,-77,180,
126497,Mora moro,Depth,450,2500,
126497,Mora moro,Depth,50,2500,
126497,Mora moro,max size,,,80
126497,Mora moro,common size,,,45
126522,Lampris guttatus,Lat,-60,75,
126522,Lampris guttatus,Lon,-180,180,
126522,Lampris guttatus,Depth,100,400,Day
126522,Lampris guttatus,Depth,50,150,Night
126522,Lampris guttatus,max size,,,200
126522,Lampris guttatus,common size,,,120
126522,Lampris guttatus,Temperature,8,22,
126524,Radiicephalus elongatus,Lat,-40,38,
126524,Radiicephalus elongatus,lon,-180,180,
126524,Radiicephalus elongatus,lon,-130,20,
126524,Radiicephalus elongatus,common size,60,75,
126524,Radiicephalus elongatus,max size,,,80
126524,Radiicephalus elongatus,max size,,,76
126525,Regalecus glesne,Lat,15,72,
126525,Regalecus glesne,Lat,-52,-15,
126525,Regalecus glesne,Lon,-180,180,
126525,Regalecus glesne,Depth,15,1000,
126525,Regalecus glesne,Depth,20,200,
126525,Regalecus glesne,max size,,,800
126525,Regalecus glesne,common size,,,300
126526,Stylephorus chordatus,Lat,-37,45,
126526,Stylephorus chordatus,lon,-130,20,
126526,Stylephorus chordatus,Depth,625,800,
126526,Stylephorus chordatus,Depth,300,600,
126526,Stylephorus chordatus,max size,,,32
126526,Stylephorus chordatus,max size,,,28
126527,Trachipterus arcticus,Lat,25,72,
126527,Trachipterus arcticus,Lon,-62,25,
126527,Trachipterus arcticus,Depth,100,900,
126527,Trachipterus arcticus,Depth,300,600,
126528,Trachipterus trachypterus,Lat,-48,45,
126528,Trachipterus trachypterus,Lon,-180,-153,
126528,Trachipterus trachypterus,Lon,-76,180,
126528,Trachipterus trachypterus,Depth,200,1355,
126528,Trachipterus trachypterus,Depth,100,600,
126537,Ceratias holboelli,Lat,-45,67,
126537,Ceratias holboelli,lon,-180,180,
126537,Ceratias holboelli,Depth,400,4400,
126537,Ceratias holboelli,Depth,400,2000,
126537,Ceratias holboelli,max size,,,16
126537,Ceratias holboelli,max size,,,120
126537,Ceratias holboelli,max size,,,16
126537,Ceratias holboelli,max size,,,120
126537,Ceratias holboelli,common size,,,77
126537,Ceratias holboelli,common size,,,77
126538,Cryptopsaras couesii,Lat,-52,81,
126538,Cryptopsaras couesii,lon,-180,180,
126538,Cryptopsaras couesii,Depth,500,1250,
126538,Cryptopsaras couesii,Depth,0,3085,
126538,Cryptopsaras couesii,max size,,,44
126538,Cryptopsaras couesii,max size,,,7.3
126538,Cryptopsaras couesii,max size,,,7.3
126538,Cryptopsaras couesii,common size,,,1.05
126538,Cryptopsaras couesii,common size,,,1.05
126566,Leptacanthichthys gracilispinis,Depth,0,2000,
126566,Leptacanthichthys gracilispinis,max size,6.9,10.3,
126566,Leptacanthichthys gracilispinis,max size,?,,0.8
126581,Benthosema suborbitale,Lat,-50,50,
126581,Benthosema suborbitale,lon,-180,180,
126581,Benthosema suborbitale,Depth,0,125,Night
126581,Benthosema suborbitale,Depth,375,750,Day
126581,Benthosema suborbitale,Depth,50,2500,
126581,Benthosema suborbitale,max size,,,3.9
126582,Bolinichthys indicus,Lat,-45,-20,Indian Ocean
126582,Bolinichthys indicus,Lat,?,50,
126582,Bolinichthys indicus,Depth,25,300,Night
126582,Bolinichthys indicus,Depth,500,900,Day
126582,Bolinichthys indicus,max size,,,4.6
126583,Bolinichthys supralateralis,Lat,-40,45,
126583,Bolinichthys supralateralis,lon,-169,-153,
126583,Bolinichthys supralateralis,Depth,40,650,Night
126583,Bolinichthys supralateralis,Depth,375,750,Day
126583,Bolinichthys supralateralis,max size,,,11.7
126584,Centrobranchus nigroocellatus,Lat,-45,40,
126584,Centrobranchus nigroocellatus,Depth,0,200,Night
126584,Centrobranchus nigroocellatus,Depth,375,650,Day
126584,Centrobranchus nigroocellatus,max size,,,5
126585,Ceratoscopelus maderensis,Lat,20,50,
126585,Ceratoscopelus maderensis,Depth,51,250,Night
126585,Ceratoscopelus maderensis,Depth,650,700,Day
126585,Ceratoscopelus maderensis,Depth,51,1480,
126585,Ceratoscopelus maderensis,max size,,,8.1
126589,Diaphus brachycephalus,Lat,-33,42,
126589,Diaphus brachycephalus,Depth,0,225,Night
126589,Diaphus brachycephalus,Depth,175,550,Day
126589,Diaphus brachycephalus,max size,,,6
126590,Diaphus dumerilii,Lat,-45,51,
126590,Diaphus dumerilii,Depth,0,50,Night
126590,Diaphus dumerilii,Depth,225,750,Day
126590,Diaphus dumerilii,max size,,,9.5
126594,Diaphus metopoclampus,Lat,-55,49,
126594,Diaphus metopoclampus,lon,-180,-153,
126594,Diaphus metopoclampus,lon,-67,180,
126594,Diaphus metopoclampus,Depth,375,850,Day
126594,Diaphus metopoclampus,Depth,90,1085,
126594,Diaphus metopoclampus,max size,,,7.5
126599,Diogenichthys atlanticus,Lat,-48,50,
126599,Diogenichthys atlanticus,lon,-180,-109,
126599,Diogenichthys atlanticus,lon,-82,180,
126599,Diogenichthys atlanticus,Depth,18,1050,Night
126599,Diogenichthys atlanticus,Depth,400,930,Day
126599,Diogenichthys atlanticus,max size,,,2.9
126603,Hygophum hygomii,Lat,-40,46,
126603,Hygophum hygomii,Depth,0,300,Night
126603,Hygophum hygomii,Depth,600,800,Day
126603,Hygophum hygomii,max size,,,7.7
126607,Lampadena chavesi,Lat,-33,-26,Atlantic 
126607,Lampadena chavesi,Lat,26,41,Atlantic 
126607,Lampadena chavesi,Depth,0,175,Night
