acceptedNameUsageID,Scientific name,ICCAT Fisheries,LL,PS,Others
272452,Merluccius australis,Y,Y,,
272528,Lophotus capellei,Y,Y,,
272534,Trachipterus jacksonensis,,,,
272562,Gigantactis golovani,,,,
272630,Oneirodes kreffti,,,,
272656,Ceratoscopelus townsendi,,,,
272728,Notoscopelus kroyeri,,,,
272734,Symbolophorus kreffti,,,,
273675,Cubiceps caeruleus,Y,Y,,
273811,Scomberomorus brasiliensis,Y,,,Y
273819,Scomberomorus regalis,Y,Y,,
273998,Stromateus brasiliensis,N,,,
274967,Argyropelecus olfersii,,,,
274978,Maurolicus stehmanni,,,,
275069,Eustomias bigelowi,,,,
275138,Eustomias spherulifer,,,,
275171,Photonectes albipennis,,,,
275500,Brevoortia patronus,,,,
276250,Cantherhines macrocerus,Y,,Y,
276307,Bathyclupea schroederi,,,,
276560,Peprilus burti,,,,
277287,Pellona harroweri,,,,
278434,Grammatorcynus bilineatus,,,,
278702,Genypterus blacodes,Y,Y,,
279766,Assurger anzac,Y,Y,,
280091,Cetengraulis edentulus,,,,
280695,Epinnula magistralis,,,,
281542,Megachasma pelagios,Y,,,
281832,Odontognathus compressus,,,,
282546,Ramnogaster arcuata,,,,
282757,Seriolella porosa,N,,,
282973,Thysanactis dentex,,,,
283164,Winteria telescopa,,,,
283166,Woodsia nonsuchae,,,,
283206,Zameus squamulosus,Y,Y,,
298438,Carcharhinus perezi,Y,Y,,
299089,Centroscymnus owstoni,Y,Y,,
300735,Gadus chalcogrammus,,,,
301526,Lampanyctus isaacsi,,,,
302432,Caranx ruber,N,,,
302877,Remora albescens,Y,,Y,
303486,Kyphosus sectatrix,Y,,Y,
313240,Pentaceros richardsoni,,,,
317659,Myctophum asperum/ Dasyscopelus asper,,,,
319394,Monacoa grimaldii/ Opisthoproctus grimaldii,,,,
321911,Tetronarce nobiliana/ Torpedo nobiliana,,,,
345843,Sphyraena barracuda,Y,Y,Y,
388863,Scopeloberyx bannikovi,,,,
398478,Odontanthias caudicinctus,,,,
401555,Alectis alexandrina/ Alectis alexandrinus,N,,,
712905,Istiompax indica,Y,Y,Y,
712906,Kajikia albida,Y,Y,Y,Y
712907,Kajikia audax,Y,Y,Y,
713109,Lophotus guntheri,Y,Y,,
1007133,Liopropoma santi,,,,
1017161,Mugil brevirostris,,,,
1026118,Mobula birostris,Y,Y,Y,
1042799,Squalus bassi,,,,
1042856,Hypanus americanus,Y,,,Y
1042871,Mobula alfredi,Y,Y,,
1287298,Squalus clarkae,,,,
1510072,Melamphaes lentiginosus,,,,
