acceptedNameUsageID,Scientific name,Item,Description,Code
105816,Sphyrna lewini,food,bony fish,3
105816,Sphyrna lewini,food,sharks and rays,3.6
105816,Sphyrna lewini,Aggregation,solitary,1
105816,Sphyrna lewini,Aggregation,pair,2
105816,Sphyrna lewini,Aggregation,school,4
105817,Sphyrna mokarran,Temperature,temperate,2
105817,Sphyrna mokarran,Temperature,warm temperate,2.4
105817,Sphyrna mokarran,Temperature,subtropical,2.6
105817,Sphyrna mokarran,Temperature,tropical,3
105817,Sphyrna mokarran,Habitat,offshore,2.5
105817,Sphyrna mokarran,Habitat,inshore,1.3
105817,Sphyrna mokarran,Habitat,coastal,2
105817,Sphyrna mokarran,Habitat,island,2.5
105817,Sphyrna mokarran,Habitat,continental shelf,2
105817,Sphyrna mokarran,Habitat,semi-oceanic,2.5
105817,Sphyrna mokarran,Habitat,oceanic,3
105817,Sphyrna mokarran,Salinity,brackish,1
105817,Sphyrna mokarran,Salinity,marine,2
105817,Sphyrna mokarran,Behavior,benthopelagic,2
105817,Sphyrna mokarran,Behavior,pelagic,3
105817,Sphyrna mokarran,food,crabs,2
105817,Sphyrna mokarran,food,crustaceans,2
105817,Sphyrna mokarran,food,lobsters,2
105817,Sphyrna mokarran,food,squids,2.6
105817,Sphyrna mokarran,food,fish,3
105817,Sphyrna mokarran,food,groupders,3
105817,Sphyrna mokarran,food,sea catfishes,3
105817,Sphyrna mokarran,food,small bony fish,3.2
105817,Sphyrna mokarran,food,other batoids,3.6
105817,Sphyrna mokarran,food,other sharks,3.6
105817,Sphyrna mokarran,food,rays,3.6
105817,Sphyrna mokarran,food,sharks and rays,3.6
105817,Sphyrna mokarran,food,stingrays,3.6
105819,Sphyrna zygaena,Temperature,tropical,3
105819,Sphyrna zygaena,Temperature,subtropical,2.6
105819,Sphyrna zygaena,Temperature,temperate,2
105819,Sphyrna zygaena,Habitat,semi-oceanic,2.5
105819,Sphyrna zygaena,Habitat,neritic,2
105819,Sphyrna zygaena,Habitat,oceanic,3
105819,Sphyrna zygaena,Habitat,inshore,1.3
105819,Sphyrna zygaena,Habitat,offshore,2.5
105819,Sphyrna zygaena,Habitat,island,2.5
105819,Sphyrna zygaena,Habitat,continental shelf,2
105819,Sphyrna zygaena,Salinity,marine,2
105819,Sphyrna zygaena,Salinity,brackish,1
105819,Sphyrna zygaena,Behavior,benthopelagic,2
105819,Sphyrna zygaena,Behavior,pelagic,3
105819,Sphyrna zygaena,Food,barnacles,1.4
105819,Sphyrna zygaena,Food,cephalopods,2
105819,Sphyrna zygaena,Food,crabs,2
105819,Sphyrna zygaena,Food,shrimps,2.2
105819,Sphyrna zygaena,Food,bony fish,3
105819,Sphyrna zygaena,Food,sharks and rays,3.6
105819,Sphyrna zygaena,Food,skates,3.6
105819,Sphyrna zygaena,Food,small sharks,3.6
105819,Sphyrna zygaena,Food,stingrays,3.6
105819,Sphyrna zygaena,aggregation,school,4
105820,Galeorhinus galeus,Temperature,temperate,2
105820,Galeorhinus galeus,Temperature,subtropical,2.6
105820,Galeorhinus galeus,Habitat,deep benthic,3
105820,Galeorhinus galeus,Habitat,oceanic,3
105820,Galeorhinus galeus,Habitat,inshore,1.3
105820,Galeorhinus galeus,Habitat,neritic,2
105820,Galeorhinus galeus,Habitat,open water,3
105820,Galeorhinus galeus,Habitat,continental slope,2.5
105820,Galeorhinus galeus,Habitat,island,2.5
105820,Galeorhinus galeus,Habitat,continental shelf,2
105820,Galeorhinus galeus,Salinity,marine,2
105820,Galeorhinus galeus,Behavior,demersal,1
105820,Galeorhinus galeus,Behavior,benthopelagic,2
105820,Galeorhinus galeus,Food,echinoderms,1.4
105820,Galeorhinus galeus,Food,polychaete,1.4
105820,Galeorhinus galeus,Food,worms,1.4
105820,Galeorhinus galeus,Food,cephalopods,2
105820,Galeorhinus galeus,Food,crustaceans,2
105820,Galeorhinus galeus,Food,bottom fish,3
105820,Galeorhinus galeus,Food,fish,3
105820,Galeorhinus galeus,Food,pelagic fish,3.2
105820,Galeorhinus galeus,Aggregation,group,3
105822,Mustelus mustelus,Temperature,temperate,2
105822,Mustelus mustelus,Habitat,continental slope,2.5
105822,Mustelus mustelus,Habitat,continental shelf,2
105822,Mustelus mustelus,Habitat,neritic,2
105822,Mustelus mustelus,Habitat,deep benthic,3
105822,Mustelus mustelus,Salinity,marine,2
105822,Mustelus mustelus,Behavior,demersal,1
105822,Mustelus mustelus,Behavior,benthopelagic,2
