step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
97,97,3.57185850982666,0.216,mean: 6.970623252213002,mean: 0.017521875000000003,1749068150.6023831,2025/06/05 05:15:50,1652.3447360992432,27.5m,756.957325220108,552.6333599090576,6.502216339111328,,,,
98,98,3.53959151763916,0.216,mean: 6.953161004376409,mean: 0.017809375,1749068171.514294,2025/06/05 05:16:11,1673.2566468715668,27.9m,766.5919826030731,558.2121262550354,6.566735029220581,3.6865653846740725,0.1563,mean: 8.512390310668946,mean: 0.0166359375
99,99,3.574441081237793,0.209,mean: 7.069718944525719,mean: 0.017706249999999996,1749068183.8182116,2025/06/05 05:16:23,1685.5605645179749,28.1m,771.891012430191,563.5112833976746,6.631501197814941,,,,
100,100,3.5668114570617675,0.213,mean: 7.096825149041416,mean: 0.017403125,1749068204.7991755,2025/06/05 05:16:44,1706.5415284633636,28.4m,781.4825522899628,569.2052874565125,6.6939263343811035,4.066641619110108,0.1195,mean: 9.616451980769632,mean: 0.016757812500000004
101,101,3.5472138172149656,0.2156,mean: 7.104388992500307,mean: 0.017818749999999998,1749068217.4284372,2025/06/05 05:16:57,1719.170790195465,28.7m,787.1379795074463,574.8608393669128,6.7573630809783936,,,,
102,102,3.535571745300293,0.216,mean: 7.1228659698724766,mean: 0.017587499999999995,1749068238.5008955,2025/06/05 05:17:18,1740.243248462677,29.0m,796.7081439495087,580.3312289714813,6.818416595458984,3.60138229637146,0.1707,mean: 8.242868814980984,mean: 0.017270312500000003
103,103,3.527724541473389,0.2136,mean: 7.137234054219726,mean: 0.017518749999999996,1749068251.0858457,2025/06/05 05:17:31,1752.828198671341,29.2m,802.4576981067657,586.0809056758881,6.883699178695679,,,,
104,104,3.5216325286865233,0.2162,mean: 7.165863508629799,mean: 0.017506250000000004,1749068272.5681062,2025/06/05 05:17:52,1774.310459136963,29.6m,812.3114235401154,591.9078431129456,7.002470970153809,3.600156953430176,0.1694,mean: 8.759006575763227,mean: 0.0169359375
105,105,3.5066478981018068,0.219,mean: 7.173134823346138,mean: 0.017524999999999992,1749068285.3539627,2025/06/05 05:18:05,1787.0963156223297,29.8m,818.0188357830048,597.6153774261475,7.064568519592285,,,,
106,106,3.4936602760314943,0.2182,mean: 7.17303633054495,mean: 0.0177,1749068306.3274758,2025/06/05 05:18:26,1808.069828748703,30.1m,827.5657150745392,603.1084246635437,7.12851357460022,3.6940090869903566,0.1472,mean: 10.214272143828866,mean: 0.016654687500000005
