step,trainable,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
78,11178564,78,0.502578616142273,0.821875,0.5914916674296061,0.7958333333333333,1749104882.8283525,2025/06/05 15:28:02,217.04821801185608,3.6m,13.031663179397583,11.969874143600464,4.317758321762085
79,11178564,79,0.5152694404125213,0.8010416666666667,0.7473904331525166,0.7083333333333334,1749104885.4280066,2025/06/05 15:28:05,219.64787220954895,3.7m,13.162183046340942,12.090568780899048,4.373875856399536
80,11178564,80,0.5094671805699666,0.8114583333333333,0.5921510656674703,0.7833333333333333,1749104888.6330667,2025/06/05 15:28:08,222.85293221473694,3.7m,13.36141586303711,12.272013425827026,4.430377960205078
81,11178564,81,0.469830330212911,0.8260416666666667,0.5059197644392649,0.8208333333333333,1749104891.8493338,2025/06/05 15:28:11,226.06919932365417,3.8m,13.613585233688354,12.515027046203613,4.484024286270142
82,11178564,82,0.4708291172981262,0.821875,0.545426998535792,0.8125,1749104894.4961247,2025/06/05 15:28:14,228.7159903049469,3.8m,13.750877380371094,12.642486572265625,4.536428928375244
83,11178564,83,0.4750391662120819,0.8239583333333333,0.6853433767954509,0.7375,1749104897.5759053,2025/06/05 15:28:17,231.79577088356018,3.9m,13.93508267402649,12.814584732055664,4.593469858169556
84,11178564,84,0.4864660104115804,0.8177083333333334,0.4927648703257243,0.8166666666666667,1749104900.8467758,2025/06/05 15:28:20,235.066641330719,3.9m,14.180200576782227,13.050145387649536,4.69299840927124
85,11178564,85,0.6199459254741668,0.8104166666666667,0.9798417846361797,0.6,1749104903.4978952,2025/06/05 15:28:23,237.7177608013153,4.0m,14.319622278213501,13.180150985717773,4.802822113037109
86,11178564,86,0.4886434425910314,0.828125,0.5400629083315531,0.8041666666666667,1749104906.3137655,2025/06/05 15:28:26,240.5336310863495,4.0m,14.492862224578857,13.335073947906494,4.862093210220337
87,11178564,87,0.5020830512046814,0.8145833333333333,0.5048309882481893,0.8125,1749104909.639174,2025/06/05 15:28:29,243.8590395450592,4.1m,14.738959312438965,13.571248054504395,4.916029453277588
88,11178564,88,0.45684983134269713,0.828125,0.5551275213559469,0.7958333333333333,1749104912.5170481,2025/06/05 15:28:32,246.73691368103027,4.1m,14.916502237319946,13.73819088935852,4.967542409896851
89,11178564,89,0.4606482108434041,0.8458333333333333,0.6512183308601379,0.7958333333333333,1749104915.186315,2025/06/05 15:28:35,249.40618062019348,4.2m,15.050851345062256,13.859068632125854,5.021573781967163
90,11178564,90,0.5119360148906708,0.8197916666666667,0.48582741220792136,0.8291666666666667,1749104918.4227562,2025/06/05 15:28:38,252.64262175559998,4.2m,15.262196779251099,14.055907249450684,5.076227188110352
91,11178564,91,0.45570517182350156,0.8364583333333333,0.9255241950352987,0.6416666666666667,1749104921.5507994,2025/06/05 15:28:41,255.77066493034363,4.3m,15.485456943511963,14.268967866897583,5.126877784729004
92,11178564,92,0.5020179172356923,0.815625,0.5561678608258566,0.8125,1749104924.1522427,2025/06/05 15:28:44,258.3721082210541,4.3m,15.620224714279175,14.39347243309021,5.177911043167114
93,11178564,93,0.4485202173391978,0.83125,0.5616004149119059,0.7958333333333333,1749104927.4000409,2025/06/05 15:28:47,261.6199064254761,4.4m,15.833604097366333,14.591918230056763,5.232288837432861
94,11178564,94,0.4427618463834127,0.8333333333333334,0.5510204116503398,0.7833333333333333,1749104930.5590196,2025/06/05 15:28:50,264.7788851261139,4.4m,16.06748390197754,14.81505274772644,5.2859532833099365
95,11178564,95,0.46589646538098656,0.828125,0.514016350110372,0.8041666666666667,1749104933.140792,2025/06/05 15:28:53,267.360657453537,4.5m,16.203763723373413,14.941486597061157,5.33617901802063
96,11178564,96,0.4321515878041585,0.8479166666666667,0.5362388372421265,0.8125,1749104936.1974247,2025/06/05 15:28:56,270.4172902107239,4.5m,16.37951135635376,15.099864959716797,5.392462253570557
97,11178564,97,0.4656840900580088,0.8270833333333333,0.7587544639905294,0.6958333333333333,1749104939.5578892,2025/06/05 15:28:59,273.77775478363037,4.6m,16.646381855010986,15.357019901275635,5.445457696914673
98,11178564,98,0.46455700596173605,0.8166666666666667,0.49493926962216694,0.8291666666666667,1749104942.3399274,2025/06/05 15:29:02,276.5597929954529,4.6m,16.801084280014038,15.502247333526611,5.5402748584747314
99,11178564,99,0.4367888589700063,0.828125,0.546693499883016,0.7916666666666666,1749104944.9786212,2025/06/05 15:29:04,279.19848680496216,4.7m,16.937369108200073,15.624127388000488,5.59377908706665
100,11178564,100,0.41593521436055503,0.8447916666666667,0.7473356246948242,0.7,1749104948.2499013,2025/06/05 15:29:08,282.46976685523987,4.7m,17.157360553741455,15.83135724067688,5.651528596878052
